Puntuacion;idestudiante;area
67;10011344;Matematicas
79;10011345;Matematicas
72;10011346;Matematicas
62;10011347;Matematicas
77;10011348;Matematicas
75;10011349;Matematicas
87;10011350;Matematicas
52;10011351;Matematicas
66;10011352;Matematicas
63;10011353;Matematicas
46;10011354;Matematicas
59;10011355;Matematicas
61;10011356;Matematicas
63;10011357;Matematicas
42;10011358;Matematicas
59;10011359;Matematicas
80;10011360;Matematicas
58;10011361;Matematicas
85;10011362;Matematicas
52;10011363;Matematicas
27;10011364;Matematicas
59;10011365;Matematicas
49;10011366;Matematicas
69;10011367;Matematicas
61;10011368;Matematicas
44;10011369;Matematicas
73;10011370;Matematicas
84;10011371;Matematicas
45;10011372;Matematicas
74;10011373;Matematicas
82;10011374;Matematicas
59;10011375;Matematicas
46;10011376;Matematicas
80;10011377;Matematicas
85;10011378;Matematicas
71;10011379;Matematicas
66;10011380;Matematicas
80;10011381;Matematicas
87;10011382;Matematicas
79;10011383;Matematicas
38;10011384;Matematicas
38;10011385;Matematicas
67;10011386;Matematicas
64;10011387;Matematicas
57;10011388;Matematicas
62;10011389;Matematicas
73;10011390;Matematicas
73;10011391;Matematicas
77;10011392;Matematicas
76;10011393;Matematicas
57;10011394;Matematicas
65;10011395;Matematicas
48;10011396;Matematicas
50;10011397;Matematicas
85;10011398;Matematicas
74;10011399;Matematicas
60;10011400;Matematicas
59;10011401;Matematicas
53;10011402;Matematicas
49;10011403;Matematicas
88;10011404;Matematicas
54;10011405;Matematicas
63;10011406;Matematicas
65;10011407;Matematicas
82;10011408;Matematicas
52;10011409;Matematicas
87;10011410;Matematicas
70;10011411;Matematicas
84;10011412;Matematicas
71;10011413;Matematicas
63;10011414;Matematicas
51;10011415;Matematicas
84;10011416;Matematicas
71;10011417;Matematicas
74;10011418;Matematicas
68;10011419;Matematicas
57;10011420;Matematicas
82;10011421;Matematicas
57;10011422;Matematicas
47;10011423;Matematicas
59;10011424;Matematicas
41;10011425;Matematicas
62;10011426;Matematicas
86;10011427;Matematicas
69;10011428;Matematicas
65;10011429;Matematicas
68;10011430;Matematicas
64;10011431;Matematicas
61;10011432;Matematicas
61;10011433;Matematicas
47;10011434;Matematicas
73;10011435;Matematicas
50;10011436;Matematicas
75;10011437;Matematicas
75;10011438;Matematicas
70;10011439;Matematicas
89;10011440;Matematicas
67;10011441;Matematicas
78;10011442;Matematicas
59;10011443;Matematicas
73;10011444;Matematicas
79;10011445;Matematicas
67;10011446;Matematicas
69;10011447;Matematicas
86;10011448;Matematicas
47;10011449;Matematicas
81;10011450;Matematicas
64;10011451;Matematicas
100;10011452;Matematicas
65;10011453;Matematicas
65;10011454;Matematicas
53;10011455;Matematicas
37;10011456;Matematicas
79;10011457;Matematicas
53;10011458;Matematicas
100;10011459;Matematicas
72;10011460;Matematicas
53;10011461;Matematicas
54;10011462;Matematicas
71;10011463;Matematicas
77;10011464;Matematicas
75;10011465;Matematicas
84;10011466;Matematicas
26;10011467;Matematicas
72;10011468;Matematicas
77;10011469;Matematicas
91;10011470;Matematicas
83;10011471;Matematicas
63;10011472;Matematicas
68;10011473;Matematicas
59;10011474;Matematicas
90;10011475;Matematicas
71;10011476;Matematicas
76;10011477;Matematicas
80;10011478;Matematicas
55;10011479;Matematicas
76;10011480;Matematicas
73;10011481;Matematicas
52;10011482;Matematicas
68;10011483;Matematicas
59;10011484;Matematicas
49;10011485;Matematicas
70;10011486;Matematicas
61;10011487;Matematicas
60;10011488;Matematicas
64;10011489;Matematicas
79;10011490;Matematicas
65;10011491;Matematicas
64;10011492;Matematicas
83;10011493;Matematicas
81;10011494;Matematicas
54;10011495;Matematicas
68;10011496;Matematicas
54;10011497;Matematicas
59;10011498;Matematicas
66;10011499;Matematicas
76;10011500;Matematicas
74;10011501;Matematicas
94;10011502;Matematicas
63;10011503;Matematicas
95;10011504;Matematicas
40;10011505;Matematicas
82;10011506;Matematicas
68;10011507;Matematicas
55;10011508;Matematicas
79;10011509;Matematicas
86;10011510;Matematicas
76;10011511;Matematicas
64;10011512;Matematicas
62;10011513;Matematicas
54;10011514;Matematicas
77;10011515;Matematicas
76;10011516;Matematicas
74;10011517;Matematicas
66;10011518;Matematicas
66;10011519;Matematicas
67;10011520;Matematicas
71;10011521;Matematicas
91;10011522;Matematicas
69;10011523;Matematicas
54;10011524;Matematicas
53;10011525;Matematicas
68;10011526;Matematicas
56;10011527;Matematicas
36;10011528;Matematicas
29;10011529;Matematicas
62;10011530;Matematicas
68;10011531;Matematicas
47;10011532;Matematicas
62;10011533;Matematicas
79;10011534;Matematicas
73;10011535;Matematicas
66;10011536;Matematicas
51;10011537;Matematicas
51;10011538;Matematicas
85;10011539;Matematicas
97;10011540;Matematicas
75;10011541;Matematicas
79;10011542;Matematicas
81;10011543;Matematicas
82;10011544;Matematicas
64;10011545;Matematicas
78;10011546;Matematicas
92;10011547;Matematicas
72;10011548;Matematicas
62;10011549;Matematicas
79;10011550;Matematicas
79;10011551;Matematicas
87;10011552;Matematicas
40;10011553;Matematicas
77;10011554;Matematicas
53;10011555;Matematicas
32;10011556;Matematicas
55;10011557;Matematicas
61;10011558;Matematicas
53;10011559;Matematicas
73;10011560;Matematicas
74;10011561;Matematicas
63;10011562;Matematicas
96;10011563;Matematicas
63;10011564;Matematicas
48;10011565;Matematicas
48;10011566;Matematicas
92;10011567;Matematicas
61;10011568;Matematicas
63;10011569;Matematicas
68;10011570;Matematicas
71;10011571;Matematicas
91;10011572;Matematicas
53;10011573;Matematicas
50;10011574;Matematicas
74;10011575;Matematicas
40;10011576;Matematicas
61;10011577;Matematicas
81;10011578;Matematicas
48;10011579;Matematicas
53;10011580;Matematicas
81;10011581;Matematicas
77;10011582;Matematicas
63;10011583;Matematicas
73;10011584;Matematicas
69;10011585;Matematicas
65;10011586;Matematicas
55;10011587;Matematicas
44;10011588;Matematicas
54;10011589;Matematicas
48;10011590;Matematicas
58;10011591;Matematicas
71;10011592;Matematicas
68;10011593;Matematicas
74;10011594;Matematicas
92;10011595;Matematicas
56;10011596;Matematicas
30;10011597;Matematicas
53;10011598;Matematicas
69;10011599;Matematicas
65;10011600;Matematicas
54;10011601;Matematicas
29;10011602;Matematicas
76;10011603;Matematicas
60;10011604;Matematicas
84;10011605;Matematicas
75;10011606;Matematicas
85;10011607;Matematicas
40;10011608;Matematicas
61;10011609;Matematicas
58;10011610;Matematicas
69;10011611;Matematicas
58;10011612;Matematicas
94;10011613;Matematicas
65;10011614;Matematicas
82;10011615;Matematicas
60;10011616;Matematicas
37;10011617;Matematicas
88;10011618;Matematicas
95;10011619;Matematicas
65;10011620;Matematicas
35;10011621;Matematicas
62;10011622;Matematicas
58;10011623;Matematicas
100;10011624;Matematicas
61;10011625;Matematicas
100;10011626;Matematicas
69;10011627;Matematicas
61;10011628;Matematicas
49;10011629;Matematicas
44;10011630;Matematicas
67;10011631;Matematicas
79;10011632;Matematicas
66;10011633;Matematicas
75;10011634;Matematicas
84;10011635;Matematicas
71;10011636;Matematicas
67;10011637;Matematicas
80;10011638;Matematicas
86;10011639;Matematicas
76;10011640;Matematicas
41;10011641;Matematicas
74;10011642;Matematicas
72;10011643;Matematicas
74;10011644;Matematicas
70;10011645;Matematicas
65;10011646;Matematicas
59;10011647;Matematicas
64;10011648;Matematicas
50;10011649;Matematicas
69;10011650;Matematicas
51;10011651;Matematicas
68;10011652;Matematicas
85;10011653;Matematicas
65;10011654;Matematicas
73;10011655;Matematicas
62;10011656;Matematicas
77;10011657;Matematicas
69;10011658;Matematicas
43;10011659;Matematicas
90;10011660;Matematicas
74;10011661;Matematicas
73;10011662;Matematicas
55;10011663;Matematicas
65;10011664;Matematicas
80;10011665;Matematicas
50;10011666;Matematicas
63;10011667;Matematicas
77;10011668;Matematicas
73;10011669;Matematicas
81;10011670;Matematicas
66;10011671;Matematicas
52;10011672;Matematicas
69;10011673;Matematicas
65;10011674;Matematicas
69;10011675;Matematicas
50;10011676;Matematicas
73;10011677;Matematicas
70;10011678;Matematicas
81;10011679;Matematicas
63;10011680;Matematicas
67;10011681;Matematicas
60;10011682;Matematicas
62;10011683;Matematicas
29;10011684;Matematicas
62;10011685;Matematicas
94;10011686;Matematicas
85;10011687;Matematicas
77;10011688;Matematicas
53;10011689;Matematicas
93;10011690;Matematicas
49;10011691;Matematicas
73;10011692;Matematicas
66;10011693;Matematicas
77;10011694;Matematicas
49;10011695;Matematicas
79;10011696;Matematicas
75;10011697;Matematicas
59;10011698;Matematicas
57;10011699;Matematicas
66;10011700;Matematicas
79;10011701;Matematicas
57;10011702;Matematicas
87;10011703;Matematicas
63;10011704;Matematicas
59;10011705;Matematicas
62;10011706;Matematicas
46;10011707;Matematicas
66;10011708;Matematicas
89;10011709;Matematicas
42;10011710;Matematicas
93;10011711;Matematicas
80;10011712;Matematicas
98;10011713;Matematicas
81;10011714;Matematicas
60;10011715;Matematicas
76;10011716;Matematicas
73;10011717;Matematicas
96;10011718;Matematicas
76;10011719;Matematicas
91;10011720;Matematicas
62;10011721;Matematicas
55;10011722;Matematicas
74;10011723;Matematicas
50;10011724;Matematicas
47;10011725;Matematicas
81;10011726;Matematicas
65;10011727;Matematicas
68;10011728;Matematicas
73;10011729;Matematicas
53;10011730;Matematicas
68;10011731;Matematicas
55;10011732;Matematicas
87;10011733;Matematicas
55;10011734;Matematicas
53;10011735;Matematicas
67;10011736;Matematicas
92;10011737;Matematicas
53;10011738;Matematicas
81;10011739;Matematicas
61;10011740;Matematicas
80;10011741;Matematicas
37;10011742;Matematicas
81;10011743;Matematicas
59;10011744;Matematicas
55;10011745;Matematicas
72;10011746;Matematicas
69;10011747;Matematicas
69;10011748;Matematicas
50;10011749;Matematicas
87;10011750;Matematicas
71;10011751;Matematicas
68;10011752;Matematicas
79;10011753;Matematicas
77;10011754;Matematicas
58;10011755;Matematicas
84;10011756;Matematicas
55;10011757;Matematicas
70;10011758;Matematicas
52;10011759;Matematicas
69;10011760;Matematicas
53;10011761;Matematicas
48;10011762;Matematicas
78;10011763;Matematicas
62;10011764;Matematicas
60;10011765;Matematicas
74;10011766;Matematicas
58;10011767;Matematicas
76;10011768;Matematicas
68;10011769;Matematicas
58;10011770;Matematicas
52;10011771;Matematicas
75;10011772;Matematicas
52;10011773;Matematicas
62;10011774;Matematicas
66;10011775;Matematicas
49;10011776;Matematicas
66;10011777;Matematicas
35;10011778;Matematicas
72;10011779;Matematicas
94;10011780;Matematicas
46;10011781;Matematicas
77;10011782;Matematicas
76;10011783;Matematicas
52;10011784;Matematicas
91;10011785;Matematicas
32;10011786;Matematicas
72;10011787;Matematicas
19;10011788;Matematicas
68;10011789;Matematicas
52;10011790;Matematicas
48;10011791;Matematicas
60;10011792;Matematicas
66;10011793;Matematicas
89;10011794;Matematicas
42;10011795;Matematicas
57;10011796;Matematicas
70;10011797;Matematicas
70;10011798;Matematicas
69;10011799;Matematicas
52;10011800;Matematicas
67;10011801;Matematicas
76;10011802;Matematicas
87;10011803;Matematicas
82;10011804;Matematicas
73;10011805;Matematicas
75;10011806;Matematicas
64;10011807;Matematicas
41;10011808;Matematicas
90;10011809;Matematicas
59;10011810;Matematicas
51;10011811;Matematicas
45;10011812;Matematicas
54;10011813;Matematicas
87;10011814;Matematicas
72;10011815;Matematicas
94;10011816;Matematicas
45;10011817;Matematicas
61;10011818;Matematicas
60;10011819;Matematicas
77;10011820;Matematicas
85;10011821;Matematicas
78;10011822;Matematicas
49;10011823;Matematicas
71;10011824;Matematicas
48;10011825;Matematicas
62;10011826;Matematicas
56;10011827;Matematicas
65;10011828;Matematicas
69;10011829;Matematicas
68;10011830;Matematicas
61;10011831;Matematicas
74;10011832;Matematicas
64;10011833;Matematicas
77;10011834;Matematicas
58;10011835;Matematicas
60;10011836;Matematicas
73;10011837;Matematicas
75;10011838;Matematicas
58;10011839;Matematicas
66;10011840;Matematicas
39;10011841;Matematicas
64;10011842;Matematicas
23;10011843;Matematicas
74;10011844;Matematicas
40;10011845;Matematicas
90;10011846;Matematicas
91;10011847;Matematicas
64;10011848;Matematicas
59;10011849;Matematicas
80;10011850;Matematicas
71;10011851;Matematicas
61;10011852;Matematicas
87;10011853;Matematicas
82;10011854;Matematicas
62;10011855;Matematicas
97;10011856;Matematicas
75;10011857;Matematicas
65;10011858;Matematicas
52;10011859;Matematicas
87;10011860;Matematicas
53;10011861;Matematicas
81;10011862;Matematicas
39;10011863;Matematicas
71;10011864;Matematicas
97;10011865;Matematicas
82;10011866;Matematicas
59;10011867;Matematicas
61;10011868;Matematicas
78;10011869;Matematicas
49;10011870;Matematicas
59;10011871;Matematicas
70;10011872;Matematicas
82;10011873;Matematicas
90;10011874;Matematicas
43;10011875;Matematicas
80;10011876;Matematicas
81;10011877;Matematicas
57;10011878;Matematicas
59;10011879;Matematicas
64;10011880;Matematicas
63;10011881;Matematicas
71;10011882;Matematicas
64;10011883;Matematicas
55;10011884;Matematicas
51;10011885;Matematicas
62;10011886;Matematicas
93;10011887;Matematicas
54;10011888;Matematicas
69;10011889;Matematicas
44;10011890;Matematicas
86;10011891;Matematicas
85;10011892;Matematicas
50;10011893;Matematicas
88;10011894;Matematicas
59;10011895;Matematicas
32;10011896;Matematicas
36;10011897;Matematicas
63;10011898;Matematicas
67;10011899;Matematicas
65;10011900;Matematicas
85;10011901;Matematicas
73;10011902;Matematicas
34;10011903;Matematicas
93;10011904;Matematicas
67;10011905;Matematicas
88;10011906;Matematicas
57;10011907;Matematicas
79;10011908;Matematicas
67;10011909;Matematicas
70;10011910;Matematicas
50;10011911;Matematicas
69;10011912;Matematicas
52;10011913;Matematicas
47;10011914;Matematicas
46;10011915;Matematicas
68;10011916;Matematicas
100;10011917;Matematicas
44;10011918;Matematicas
57;10011919;Matematicas
91;10011920;Matematicas
69;10011921;Matematicas
35;10011922;Matematicas
72;10011923;Matematicas
54;10011924;Matematicas
74;10011925;Matematicas
74;10011926;Matematicas
64;10011927;Matematicas
65;10011928;Matematicas
46;10011929;Matematicas
48;10011930;Matematicas
67;10011931;Matematicas
62;10011932;Matematicas
61;10011933;Matematicas
70;10011934;Matematicas
98;10011935;Matematicas
70;10011936;Matematicas
67;10011937;Matematicas
57;10011938;Matematicas
85;10011939;Matematicas
77;10011940;Matematicas
72;10011941;Matematicas
78;10011942;Matematicas
81;10011943;Matematicas
61;10011944;Matematicas
58;10011945;Matematicas
54;10011946;Matematicas
82;10011947;Matematicas
49;10011948;Matematicas
49;10011949;Matematicas
57;10011950;Matematicas
94;10011951;Matematicas
75;10011952;Matematicas
74;10011953;Matematicas
58;10011954;Matematicas
62;10011955;Matematicas
72;10011956;Matematicas
84;10011957;Matematicas
92;10011958;Matematicas
45;10011959;Matematicas
75;10011960;Matematicas
56;10011961;Matematicas
48;10011962;Matematicas
100;10011963;Matematicas
65;10011964;Matematicas
72;10011965;Matematicas
62;10011966;Matematicas
66;10011967;Matematicas
63;10011968;Matematicas
68;10011969;Matematicas
75;10011970;Matematicas
89;10011971;Matematicas
78;10011972;Matematicas
53;10011973;Matematicas
49;10011974;Matematicas
54;10011975;Matematicas
64;10011976;Matematicas
60;10011977;Matematicas
62;10011978;Matematicas
55;10011979;Matematicas
91;10011980;Matematicas
8;10011981;Matematicas
81;10011982;Matematicas
79;10011983;Matematicas
78;10011984;Matematicas
74;10011985;Matematicas
57;10011986;Matematicas
40;10011987;Matematicas
81;10011988;Matematicas
44;10011989;Matematicas
67;10011990;Matematicas
86;10011991;Matematicas
65;10011992;Matematicas
55;10011993;Matematicas
62;10011994;Matematicas
63;10011995;Matematicas
88;10011996;Matematicas
62;10011997;Matematicas
59;10011998;Matematicas
68;10011999;Matematicas
77;10012000;Matematicas
72;10011001;Lectura
90;10011002;Lectura
95;10011003;Lectura
57;10011004;Lectura
78;10011005;Lectura
83;10011006;Lectura
95;10011007;Lectura
43;10011008;Lectura
64;10011009;Lectura
60;10011010;Lectura
54;10011011;Lectura
52;10011012;Lectura
81;10011013;Lectura
72;10011014;Lectura
53;10011015;Lectura
75;10011016;Lectura
89;10011017;Lectura
32;10011018;Lectura
42;10011019;Lectura
58;10011020;Lectura
69;10011021;Lectura
75;10011022;Lectura
54;10011023;Lectura
73;10011024;Lectura
71;10011025;Lectura
74;10011026;Lectura
54;10011027;Lectura
69;10011028;Lectura
70;10011029;Lectura
70;10011030;Lectura
74;10011031;Lectura
65;10011032;Lectura
72;10011033;Lectura
42;10011034;Lectura
87;10011035;Lectura
81;10011036;Lectura
81;10011037;Lectura
64;10011038;Lectura
90;10011039;Lectura
56;10011040;Lectura
61;10011041;Lectura
73;10011042;Lectura
58;10011043;Lectura
65;10011044;Lectura
56;10011045;Lectura
54;10011046;Lectura
65;10011047;Lectura
71;10011048;Lectura
74;10011049;Lectura
84;10011050;Lectura
55;10011051;Lectura
69;10011052;Lectura
44;10011053;Lectura
78;10011054;Lectura
84;10011055;Lectura
41;10011056;Lectura
85;10011057;Lectura
55;10011058;Lectura
59;10011059;Lectura
17;10011060;Lectura
74;10011061;Lectura
39;10011062;Lectura
61;10011063;Lectura
80;10011064;Lectura
58;10011065;Lectura
64;10011066;Lectura
37;10011067;Lectura
72;10011068;Lectura
58;10011069;Lectura
64;10011070;Lectura
63;10011071;Lectura
55;10011072;Lectura
51;10011073;Lectura
57;10011074;Lectura
49;10011075;Lectura
41;10011076;Lectura
26;10011077;Lectura
78;10011078;Lectura
74;10011079;Lectura
68;10011080;Lectura
49;10011081;Lectura
45;10011082;Lectura
47;10011083;Lectura
64;10011084;Lectura
39;10011085;Lectura
80;10011086;Lectura
83;10011087;Lectura
71;10011088;Lectura
70;10011089;Lectura
86;10011090;Lectura
72;10011091;Lectura
34;10011092;Lectura
79;10011093;Lectura
45;10011094;Lectura
86;10011095;Lectura
81;10011096;Lectura
66;10011097;Lectura
72;10011098;Lectura
67;10011099;Lectura
67;10011100;Lectura
67;10011101;Lectura
74;10011102;Lectura
91;10011103;Lectura
44;10011104;Lectura
86;10011105;Lectura
67;10011106;Lectura
100;10011107;Lectura
63;10011108;Lectura
76;10011109;Lectura
64;10011110;Lectura
89;10011111;Lectura
55;10011112;Lectura
53;10011113;Lectura
58;10011114;Lectura
100;10011115;Lectura
77;10011116;Lectura
85;10011117;Lectura
82;10011118;Lectura
63;10011119;Lectura
69;10011120;Lectura
92;10011121;Lectura
89;10011122;Lectura
93;10011123;Lectura
57;10011124;Lectura
80;10011125;Lectura
95;10011126;Lectura
68;10011127;Lectura
77;10011128;Lectura
82;10011129;Lectura
49;10011130;Lectura
84;10011131;Lectura
37;10011132;Lectura
74;10011133;Lectura
81;10011134;Lectura
79;10011135;Lectura
55;10011136;Lectura
54;10011137;Lectura
55;10011138;Lectura
66;10011139;Lectura
61;10011140;Lectura
72;10011141;Lectura
62;10011142;Lectura
55;10011143;Lectura
43;10011144;Lectura
73;10011145;Lectura
39;10011146;Lectura
84;10011147;Lectura
68;10011148;Lectura
75;10011149;Lectura
100;10011150;Lectura
67;10011151;Lectura
67;10011152;Lectura
70;10011153;Lectura
49;10011154;Lectura
67;10011155;Lectura
89;10011156;Lectura
74;10011157;Lectura
60;10011158;Lectura
86;10011159;Lectura
62;10011160;Lectura
78;10011161;Lectura
88;10011162;Lectura
53;10011163;Lectura
53;10011164;Lectura
92;10011165;Lectura
100;10011166;Lectura
51;10011167;Lectura
76;10011168;Lectura
83;10011169;Lectura
75;10011170;Lectura
73;10011171;Lectura
88;10011172;Lectura
86;10011173;Lectura
67;10011174;Lectura
51;10011175;Lectura
91;10011176;Lectura
54;10011177;Lectura
77;10011178;Lectura
70;10011179;Lectura
