idestudiante;almuerzo;Curso de preparacion para examenes;Nivel de educacion de los padres;Raza/etnia
10011073;Gratis/Reducido;ninguna;grado asociado;group A
10011074;Gratis/Reducido;ninguna;algun instituto;group C
10011075;Pago/Premiun;ninguna;algun instituto;group C
10011076;Gratis/Reducido;ninguna;grado asociado;group B
10011077;Pago/Premiun;ninguna;algun instituto;group E
10011078;Pago/Premiun;completado;licenciatura;group A
10011079;Pago/Premiun;completado;algun instituto;group D
10011080;Pago/Premiun;ninguna;maestria;group E
10011081;Pago/Premiun;ninguna;grado asociado;group B
10011082;Gratis/Reducido;ninguna;escuela secundaria;group B
10011083;Gratis/Reducido;completado;alguna educacion superior;group A
10011084;Pago/Premiun;ninguna;grado asociado;group E
10011085;Gratis/Reducido;ninguna;escuela secundaria;group D
10011086;Pago/Premiun;ninguna;alguna educacion superior;group C
10011087;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011088;Pago/Premiun;ninguna;grado asociado;group D
10011089;Pago/Premiun;ninguna;alguna educacion superior;group A
10011090;Pago/Premiun;ninguna;algun instituto;group D
10011091;Pago/Premiun;ninguna;licenciatura;group C
10011092;Gratis/Reducido;ninguna;escuela secundaria;group C
10011093;Pago/Premiun;ninguna;escuela secundaria;group C
10011094;Gratis/Reducido;completado;grado asociado;group C
10011095;Pago/Premiun;ninguna;alguna educacion superior;group B
10011096;Gratis/Reducido;completado;grado asociado;group C
10011097;Pago/Premiun;completado;algun instituto;group B
10011098;Pago/Premiun;completado;alguna educacion superior;group E
10011099;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011100;Pago/Premiun;ninguna;licenciatura;group D
10011101;Pago/Premiun;ninguna;alguna educacion superior;group B
10011102;Pago/Premiun;completado;licenciatura;group D
10011103;Pago/Premiun;ninguna;grado asociado;group D
10011104;Pago/Premiun;completado;escuela secundaria;group B
10011105;Pago/Premiun;completado;alguna educacion superior;group C
10011106;Pago/Premiun;ninguna;alguna educacion superior;group C
10011107;Pago/Premiun;ninguna;maestria;group D
10011108;Pago/Premiun;completado;grado asociado;group E
10011109;Gratis/Reducido;ninguna;grado asociado;group B
10011110;Pago/Premiun;ninguna;algun instituto;group B
10011111;Gratis/Reducido;completado;grado asociado;group D
10011112;Pago/Premiun;ninguna;escuela secundaria;group C
10011113;Pago/Premiun;ninguna;grado asociado;group A
10011114;Pago/Premiun;ninguna;alguna educacion superior;group D
10011115;Pago/Premiun;completado;licenciatura;group E
10011116;Pago/Premiun;ninguna;escuela secundaria;group C
10011117;Gratis/Reducido;ninguna;licenciatura;group B
10011118;Pago/Premiun;ninguna;licenciatura;group D
10011119;Pago/Premiun;ninguna;algun instituto;group D
10011120;Pago/Premiun;ninguna;alguna educacion superior;group C
10011121;Pago/Premiun;completado;licenciatura;group C
10011122;Pago/Premiun;completado;grado asociado;group B
10011123;Pago/Premiun;completado;alguna educacion superior;group C
10011124;Gratis/Reducido;ninguna;escuela secundaria;group D
10011125;Pago/Premiun;ninguna;alguna educacion superior;group E
10011126;Pago/Premiun;ninguna;escuela secundaria;group B
10011127;Pago/Premiun;ninguna;algun instituto;group B
10011128;Pago/Premiun;completado;alguna educacion superior;group D
10011129;Pago/Premiun;ninguna;maestria;group D
10011130;Pago/Premiun;ninguna;licenciatura;group A
10011131;Pago/Premiun;ninguna;maestria;group D
10011132;Gratis/Reducido;completado;algun instituto;group C
10011133;Gratis/Reducido;completado;alguna educacion superior;group E
10011134;Pago/Premiun;completado;alguna educacion superior;group C
10011135;Gratis/Reducido;completado;licenciatura;group D
10011136;Pago/Premiun;ninguna;licenciatura;group C
10011137;Pago/Premiun;completado;algun instituto;group B
10011138;Pago/Premiun;ninguna;escuela secundaria;group E
10011139;Pago/Premiun;ninguna;grado asociado;group C
10011140;Pago/Premiun;completado;alguna educacion superior;group D
10011141;Pago/Premiun;ninguna;algun instituto;group D
10011142;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011143;Gratis/Reducido;completado;alguna educacion superior;group E
10011144;Pago/Premiun;ninguna;escuela secundaria;group A
10011145;Pago/Premiun;ninguna;alguna educacion superior;group D
10011146;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011147;Pago/Premiun;ninguna;algun instituto;group B
10011148;Gratis/Reducido;ninguna;grado asociado;group C
10011149;Pago/Premiun;completado;licenciatura;group D
10011150;Gratis/Reducido;completado;grado asociado;group E
10011151;Pago/Premiun;completado;algun instituto;group A
10011152;Pago/Premiun;ninguna;licenciatura;group A
10011153;Pago/Premiun;completado;grado asociado;group B
10011154;Pago/Premiun;ninguna;licenciatura;group D
10011155;Pago/Premiun;ninguna;algun instituto;group D
10011156;Pago/Premiun;completado;alguna educacion superior;group C
10011157;Gratis/Reducido;completado;escuela secundaria;group E
10011158;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011159;Pago/Premiun;completado;grado asociado;group B
10011160;Gratis/Reducido;ninguna;grado asociado;group D
10011161;Gratis/Reducido;completado;grado asociado;group B
10011162;Gratis/Reducido;completado;alguna educacion superior;group E
10011163;Gratis/Reducido;ninguna;maestria;group B
10011164;Pago/Premiun;ninguna;escuela secundaria;group C
10011165;Pago/Premiun;ninguna;maestria;group E
10011166;Pago/Premiun;completado;licenciatura;group C
10011167;Gratis/Reducido;completado;escuela secundaria;group C
10011168;Gratis/Reducido;completado;maestria;group B
10011169;Pago/Premiun;completado;escuela secundaria;group B
10011170;Gratis/Reducido;completado;alguna educacion superior;group C
10011171;Pago/Premiun;completado;escuela secundaria;group A
10011172;Pago/Premiun;ninguna;algun instituto;group E
10011173;Pago/Premiun;ninguna;alguna educacion superior;group D
10011174;Pago/Premiun;ninguna;grado asociado;group C
10011175;Gratis/Reducido;completado;licenciatura;group C
10011176;Pago/Premiun;completado;maestria;group C
10011177;Gratis/Reducido;completado;escuela secundaria;group B
10011178;Pago/Premiun;completado;grado asociado;group C
10011179;Gratis/Reducido;completado;maestria;group B
10011180;Pago/Premiun;completado;algun instituto;group D
10011181;Gratis/Reducido;completado;maestria;group C
10011182;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011183;Pago/Premiun;ninguna;escuela secundaria;group E
10011184;Pago/Premiun;ninguna;grado asociado;group D
10011185;Gratis/Reducido;completado;algun instituto;group C
10011186;Gratis/Reducido;completado;grado asociado;group C
10011187;Pago/Premiun;ninguna;escuela secundaria;group E
10011188;Pago/Premiun;completado;algun instituto;group D
10011189;Gratis/Reducido;ninguna;algun instituto;group B
10011190;Pago/Premiun;ninguna;licenciatura;group C
10011191;Pago/Premiun;ninguna;grado asociado;group E
10011192;Pago/Premiun;completado;alguna educacion superior;group D
10011193;Pago/Premiun;ninguna;algun instituto;group B
10011194;Pago/Premiun;completado;alguna educacion superior;group D
10011195;Pago/Premiun;completado;maestria;group C
10011196;Pago/Premiun;ninguna;grado asociado;group D
10011197;Gratis/Reducido;completado;algun instituto;group C
10011198;Gratis/Reducido;ninguna;escuela secundaria;group E
10011199;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011200;Gratis/Reducido;ninguna;licenciatura;group B
10011201;Pago/Premiun;completado;grado asociado;group C
10011202;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011203;Pago/Premiun;ninguna;grado asociado;group C
10011204;Pago/Premiun;ninguna;grado asociado;group B
10011205;Pago/Premiun;ninguna;alguna educacion superior;group C
10011206;Pago/Premiun;completado;algun instituto;group D
10011207;Pago/Premiun;ninguna;licenciatura;group E
10011208;Pago/Premiun;completado;escuela secundaria;group E
10011209;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011210;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011211;Gratis/Reducido;completado;algun instituto;group D
10011212;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011213;Gratis/Reducido;ninguna;escuela secundaria;group C
10011214;Gratis/Reducido;completado;grado asociado;group C
10011215;Pago/Premiun;completado;escuela secundaria;group E
10011216;Pago/Premiun;completado;algun instituto;group B
10011217;Gratis/Reducido;completado;grado asociado;group E
10011218;Gratis/Reducido;ninguna;escuela secundaria;group C
10011219;Gratis/Reducido;ninguna;escuela secundaria;group B
10011220;Pago/Premiun;completado;algun instituto;group B
10011221;Pago/Premiun;completado;escuela secundaria;group D
10011222;Pago/Premiun;ninguna;grado asociado;group B
10011223;Gratis/Reducido;ninguna;algun instituto;group C
10011224;Pago/Premiun;ninguna;algun instituto;group D
10011225;Pago/Premiun;completado;grado asociado;group B
10011226;Gratis/Reducido;ninguna;maestria;group E
10011227;Pago/Premiun;ninguna;alguna educacion superior;group C
10011228;Pago/Premiun;ninguna;escuela secundaria;group D
10011229;Gratis/Reducido;ninguna;algun instituto;group A
10011230;Pago/Premiun;completado;alguna educacion superior;group C
10011231;Pago/Premiun;ninguna;alguna educacion superior;group D
10011232;Pago/Premiun;ninguna;grado asociado;group C
10011233;Pago/Premiun;ninguna;licenciatura;group B
10011234;Pago/Premiun;ninguna;algun instituto;group E
10011235;Pago/Premiun;completado;licenciatura;group C
10011236;Pago/Premiun;ninguna;grado asociado;group D
10011237;Gratis/Reducido;ninguna;licenciatura;group D
10011238;Pago/Premiun;completado;algun instituto;group D
10011239;Pago/Premiun;ninguna;alguna educacion superior;group B
10011240;Pago/Premiun;ninguna;grado asociado;group C
10011241;Gratis/Reducido;completado;escuela secundaria;group D
10011242;Pago/Premiun;ninguna;licenciatura;group E
10011243;Pago/Premiun;ninguna;escuela secundaria;group D
10011244;Pago/Premiun;ninguna;alguna educacion superior;group E
10011245;Pago/Premiun;ninguna;algun instituto;group D
10011246;Pago/Premiun;ninguna;grado asociado;group C
10011247;Pago/Premiun;ninguna;grado asociado;group E
10011248;Pago/Premiun;completado;escuela secundaria;group B
10011249;Pago/Premiun;ninguna;escuela secundaria;group B
10011250;Pago/Premiun;ninguna;escuela secundaria;group C
10011251;Pago/Premiun;completado;algun instituto;group A
10011252;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011253;Pago/Premiun;completado;algun instituto;group B
10011254;Pago/Premiun;ninguna;maestria;group D
10011255;Pago/Premiun;ninguna;escuela secundaria;group D
10011256;Pago/Premiun;ninguna;alguna educacion superior;group E
10011257;Gratis/Reducido;ninguna;grado asociado;group C
10011258;Pago/Premiun;completado;grado asociado;group C
10011259;Pago/Premiun;ninguna;alguna educacion superior;group B
10011260;Gratis/Reducido;completado;maestria;group C
10011261;Gratis/Reducido;completado;algun instituto;group C
10011262;Pago/Premiun;completado;alguna educacion superior;group C
10011263;Gratis/Reducido;ninguna;algun instituto;group C
10011264;Pago/Premiun;ninguna;escuela secundaria;group E
10011265;Pago/Premiun;ninguna;escuela secundaria;group D
10011266;Gratis/Reducido;ninguna;algun instituto;group D
10011267;Pago/Premiun;ninguna;licenciatura;group C
10011268;Pago/Premiun;ninguna;escuela secundaria;group D
10011269;Pago/Premiun;completado;grado asociado;group D
10011270;Gratis/Reducido;ninguna;alguna educacion superior;group E
10011271;Pago/Premiun;ninguna;licenciatura;group C
10011272;Pago/Premiun;ninguna;alguna educacion superior;group C
10011273;Gratis/Reducido;ninguna;grado asociado;group D
10011274;Pago/Premiun;ninguna;alguna educacion superior;group D
10011275;Pago/Premiun;completado;alguna educacion superior;group B
10011276;Pago/Premiun;ninguna;licenciatura;group C
10011277;Pago/Premiun;completado;algun instituto;group C
10011278;Pago/Premiun;completado;escuela secundaria;group E
10011279;Gratis/Reducido;ninguna;algun instituto;group C
10011280;Gratis/Reducido;ninguna;licenciatura;group B
10011281;Pago/Premiun;ninguna;escuela secundaria;group D
10011282;Pago/Premiun;ninguna;escuela secundaria;group D
10011283;Gratis/Reducido;ninguna;licenciatura;group D
10011284;Gratis/Reducido;completado;alguna educacion superior;group D
10011285;Pago/Premiun;ninguna;algun instituto;group B
10011286;Pago/Premiun;completado;grado asociado;group B
10011287;Pago/Premiun;completado;grado asociado;group E
10011288;Pago/Premiun;ninguna;algun instituto;group B
10011289;Gratis/Reducido;ninguna;licenciatura;group B
10011290;Pago/Premiun;completado;algun instituto;group E
10011291;Pago/Premiun;ninguna;grado asociado;group C
10011292;Pago/Premiun;ninguna;algun instituto;group D
10011293;Pago/Premiun;completado;algun instituto;group C
10011294;Pago/Premiun;ninguna;licenciatura;group E
10011295;Gratis/Reducido;completado;escuela secundaria;group D
10011296;Gratis/Reducido;ninguna;grado asociado;group B
10011297;Pago/Premiun;completado;algun instituto;group A
10011298;Pago/Premiun;completado;grado asociado;group E
10011299;Gratis/Reducido;completado;escuela secundaria;group C
10011300;Gratis/Reducido;ninguna;grado asociado;group D
10011301;Gratis/Reducido;completado;alguna educacion superior;group A
10011302;Gratis/Reducido;ninguna;algun instituto;group D
10011303;Pago/Premiun;completado;grado asociado;group C
10011304;Pago/Premiun;ninguna;grado asociado;group B
10011305;Pago/Premiun;completado;grado asociado;group C
10011306;Pago/Premiun;ninguna;alguna educacion superior;group A
10011307;Pago/Premiun;completado;alguna educacion superior;group E
10011308;Pago/Premiun;ninguna;algun instituto;group C
10011309;Gratis/Reducido;ninguna;grado asociado;group B
10011310;Gratis/Reducido;ninguna;escuela secundaria;group D
10011311;Pago/Premiun;ninguna;grado asociado;group B
10011312;Pago/Premiun;ninguna;licenciatura;group B
10011313;Pago/Premiun;completado;licenciatura;group D
10011314;Gratis/Reducido;completado;grado asociado;group C
10011315;Pago/Premiun;completado;licenciatura;group C
10011316;Pago/Premiun;ninguna;escuela secundaria;group C
10011317;Pago/Premiun;completado;maestria;group D
10011318;Pago/Premiun;ninguna;grado asociado;group C
10011319;Pago/Premiun;ninguna;licenciatura;group B
10011320;Gratis/Reducido;ninguna;grado asociado;group D
10011321;Gratis/Reducido;completado;escuela secundaria;group C
10011322;Pago/Premiun;ninguna;escuela secundaria;group E
10011323;Pago/Premiun;ninguna;alguna educacion superior;group C
10011324;Gratis/Reducido;ninguna;algun instituto;group C
10011325;Gratis/Reducido;ninguna;escuela secundaria;group C
10011326;Pago/Premiun;ninguna;alguna educacion superior;group C
10011327;Pago/Premiun;ninguna;alguna educacion superior;group C
10011328;Gratis/Reducido;ninguna;alguna educacion superior;group A
10011329;Pago/Premiun;completado;grado asociado;group C
10011330;Pago/Premiun;ninguna;algun instituto;group B
10011331;Pago/Premiun;ninguna;escuela secundaria;group C
10011332;Pago/Premiun;ninguna;grado asociado;group C
10011333;Pago/Premiun;completado;grado asociado;group E
10011334;Pago/Premiun;ninguna;grado asociado;group B
10011335;Pago/Premiun;ninguna;licenciatura;group C
10011336;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011337;Pago/Premiun;completado;algun instituto;group D
10011338;Pago/Premiun;ninguna;grado asociado;group C
10011339;Gratis/Reducido;ninguna;algun instituto;group B
10011340;Gratis/Reducido;completado;algun instituto;group D
10011341;Gratis/Reducido;ninguna;escuela secundaria;group C
10011342;Pago/Premiun;ninguna;escuela secundaria;group C
10011343;Pago/Premiun;completado;escuela secundaria;group B
10011344;Pago/Premiun;completado;grado asociado;group D
10011345;Pago/Premiun;ninguna;alguna educacion superior;group D
10011346;Pago/Premiun;ninguna;escuela secundaria;group C
10011347;Pago/Premiun;ninguna;alguna educacion superior;group B
10011348;Pago/Premiun;completado;licenciatura;group C
10011349;Gratis/Reducido;ninguna;escuela secundaria;group D
10011350;Pago/Premiun;ninguna;grado asociado;group E
10011351;Pago/Premiun;ninguna;licenciatura;group B
10011352;Pago/Premiun;ninguna;alguna educacion superior;group E
10011353;Pago/Premiun;completado;alguna educacion superior;group C
10011354;Pago/Premiun;ninguna;grado asociado;group C
10011355;Pago/Premiun;ninguna;alguna educacion superior;group C
10011356;Pago/Premiun;ninguna;licenciatura;group B
10011357;Pago/Premiun;ninguna;grado asociado;group A
10011358;Gratis/Reducido;completado;alguna educacion superior;group C
10011359;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011360;Pago/Premiun;ninguna;alguna educacion superior;group D
10011361;Pago/Premiun;ninguna;escuela secundaria;group B
10011362;Pago/Premiun;completado;algun instituto;group B
10011363;Pago/Premiun;ninguna;alguna educacion superior;group C
10011364;Gratis/Reducido;ninguna;algun instituto;group D
10011365;Pago/Premiun;ninguna;alguna educacion superior;group C
10011366;Gratis/Reducido;completado;licenciatura;group A
10011367;Pago/Premiun;completado;escuela secundaria;group C
10011368;Gratis/Reducido;ninguna;licenciatura;group C
10011369;Gratis/Reducido;ninguna;algun instituto;group A
10011370;Pago/Premiun;ninguna;algun instituto;group D
10011371;Pago/Premiun;ninguna;alguna educacion superior;group E
10011372;Gratis/Reducido;completado;alguna educacion superior;group C
10011373;Pago/Premiun;ninguna;algun instituto;group D
10011374;Pago/Premiun;completado;alguna educacion superior;group D
10011375;Pago/Premiun;ninguna;licenciatura;group D
10011376;Gratis/Reducido;ninguna;grado asociado;group E
10011377;Pago/Premiun;ninguna;algun instituto;group D
10011378;Gratis/Reducido;completado;maestria;group D
10011379;Pago/Premiun;ninguna;algun instituto;group A
10011380;Pago/Premiun;ninguna;licenciatura;group A
10011381;Pago/Premiun;ninguna;grado asociado;group B
10011382;Pago/Premiun;completado;grado asociado;group C
10011383;Gratis/Reducido;ninguna;maestria;group C
10011384;Gratis/Reducido;ninguna;algun instituto;group E
10011385;Gratis/Reducido;ninguna;algun instituto;group A
10011386;Pago/Premiun;ninguna;alguna educacion superior;group E
10011387;Pago/Premiun;ninguna;licenciatura;group E
10011388;Gratis/Reducido;ninguna;grado asociado;group C
10011389;Pago/Premiun;ninguna;escuela secundaria;group D
10011390;Pago/Premiun;ninguna;maestria;group D
10011391;Gratis/Reducido;completado;algun instituto;group E
10011392;Pago/Premiun;ninguna;alguna educacion superior;group D
10011393;Pago/Premiun;ninguna;alguna educacion superior;group E
10011394;Pago/Premiun;completado;grado asociado;group C
10011395;Pago/Premiun;completado;algun instituto;group C
10011396;Gratis/Reducido;ninguna;escuela secundaria;group A
10011397;Gratis/Reducido;ninguna;escuela secundaria;group B
10011398;Pago/Premiun;ninguna;grado asociado;group C
10011399;Pago/Premiun;ninguna;algun instituto;group B
10011400;Pago/Premiun;ninguna;algun instituto;group D
10011401;Pago/Premiun;completado;algun instituto;group C
10011402;Pago/Premiun;ninguna;alguna educacion superior;group A
10011403;Gratis/Reducido;ninguna;alguna educacion superior;group A
10011404;Pago/Premiun;completado;escuela secundaria;group D
10011405;Pago/Premiun;ninguna;escuela secundaria;group C
10011406;Pago/Premiun;ninguna;algun instituto;group C
10011407;Pago/Premiun;completado;grado asociado;group B
10011408;Pago/Premiun;ninguna;grado asociado;group B
10011409;Gratis/Reducido;completado;escuela secundaria;group D
10011410;Pago/Premiun;completado;grado asociado;group D
10011411;Pago/Premiun;completado;maestria;group D
10011412;Pago/Premiun;completado;alguna educacion superior;group E
10011413;Pago/Premiun;ninguna;grado asociado;group D
10011414;Pago/Premiun;completado;algun instituto;group B
10011415;Gratis/Reducido;completado;licenciatura;group C
10011416;Pago/Premiun;ninguna;escuela secundaria;group E
10011417;Pago/Premiun;completado;licenciatura;group C
10011418;Pago/Premiun;ninguna;grado asociado;group C
10011419;Pago/Premiun;ninguna;alguna educacion superior;group D
10011420;Gratis/Reducido;completado;escuela secundaria;group E
10011421;Gratis/Reducido;completado;grado asociado;group C
10011422;Pago/Premiun;completado;escuela secundaria;group D
10011423;Gratis/Reducido;completado;maestria;group D
10011424;Pago/Premiun;completado;algun instituto;group A
10011425;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011426;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011427;Pago/Premiun;ninguna;licenciatura;group C
10011428;Gratis/Reducido;ninguna;algun instituto;group C
10011429;Gratis/Reducido;ninguna;algun instituto;group A
10011430;Gratis/Reducido;ninguna;algun instituto;group C
10011431;Gratis/Reducido;ninguna;grado asociado;group C
10011432;Pago/Premiun;ninguna;escuela secundaria;group C
10011433;Pago/Premiun;ninguna;escuela secundaria;group C
10011434;Gratis/Reducido;ninguna;algun instituto;group A
10011435;Pago/Premiun;ninguna;algun instituto;group C
10011436;Gratis/Reducido;completado;alguna educacion superior;group C
10011437;Pago/Premiun;ninguna;grado asociado;group D
10011438;Gratis/Reducido;ninguna;grado asociado;group D
10011439;Pago/Premiun;ninguna;escuela secundaria;group C
10011440;Pago/Premiun;completado;algun instituto;group D
10011441;Pago/Premiun;completado;alguna educacion superior;group C
10011442;Pago/Premiun;ninguna;escuela secundaria;group D
10011443;Gratis/Reducido;ninguna;algun instituto;group A
10011444;Pago/Premiun;ninguna;grado asociado;group B
10011445;Gratis/Reducido;ninguna;algun instituto;group A
10011446;Pago/Premiun;completado;algun instituto;group C
10011447;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011448;Pago/Premiun;completado;escuela secundaria;group C
10011449;Pago/Premiun;ninguna;escuela secundaria;group B
10011450;Pago/Premiun;ninguna;grado asociado;group B
10011451;Gratis/Reducido;completado;alguna educacion superior;group C
10011452;Pago/Premiun;ninguna;alguna educacion superior;group E
10011453;Gratis/Reducido;ninguna;grado asociado;group C
10011454;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011455;Gratis/Reducido;ninguna;grado asociado;group C
10011456;Gratis/Reducido;ninguna;licenciatura;group C
10011457;Pago/Premiun;ninguna;licenciatura;group D
10011458;Gratis/Reducido;ninguna;grado asociado;group D
10011459;Pago/Premiun;ninguna;licenciatura;group E
10011460;Pago/Premiun;completado;escuela secundaria;group B
10011461;Gratis/Reducido;ninguna;licenciatura;group C
10011462;Gratis/Reducido;ninguna;alguna educacion superior;group B
10011463;Pago/Premiun;ninguna;alguna educacion superior;group E
10011464;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011465;Pago/Premiun;completado;licenciatura;group A
10011466;Pago/Premiun;ninguna;alguna educacion superior;group C
10011467;Gratis/Reducido;ninguna;grado asociado;group D
10011468;Gratis/Reducido;completado;escuela secundaria;group A
10011469;Gratis/Reducido;completado;escuela secundaria;group A
10011470;Pago/Premiun;ninguna;alguna educacion superior;group C
10011471;Pago/Premiun;completado;grado asociado;group C
10011472;Pago/Premiun;ninguna;escuela secundaria;group C
10011473;Pago/Premiun;completado;grado asociado;group C
10011474;Pago/Premiun;ninguna;algun instituto;group D
10011475;Pago/Premiun;completado;grado asociado;group B
10011476;Pago/Premiun;completado;licenciatura;group D
10011477;Pago/Premiun;completado;licenciatura;group E
10011478;Pago/Premiun;ninguna;grado asociado;group D
10011479;Pago/Premiun;ninguna;maestria;group D
10011480;Pago/Premiun;ninguna;grado asociado;group E
10011481;Pago/Premiun;completado;escuela secundaria;group B
10011482;Gratis/Reducido;ninguna;grado asociado;group D
10011483;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011484;Pago/Premiun;ninguna;escuela secundaria;group A
10011485;Pago/Premiun;ninguna;grado asociado;group B
10011486;Pago/Premiun;ninguna;escuela secundaria;group C
10011487;Gratis/Reducido;ninguna;alguna educacion superior;group D
10011488;Gratis/Reducido;ninguna;grado asociado;group C
10011489;Pago/Premiun;completado;algun instituto;group B
10011490;Gratis/Reducido;completado;grado asociado;group A
10011491;Gratis/Reducido;ninguna;grado asociado;group A
10011492;Pago/Premiun;ninguna;grado asociado;group C
10011493;Pago/Premiun;ninguna;alguna educacion superior;group C
10011494;Pago/Premiun;ninguna;licenciatura;group C
10011495;Pago/Premiun;ninguna;escuela secundaria;group B
10011496;Pago/Premiun;completado;escuela secundaria;group D
10011497;Pago/Premiun;ninguna;alguna educacion superior;group C
10011498;Gratis/Reducido;completado;alguna educacion superior;group D
10011499;Pago/Premiun;ninguna;algun instituto;group B
10011500;Pago/Premiun;ninguna;alguna educacion superior;group E
10011501;Pago/Premiun;ninguna;maestria;group D
10011502;Pago/Premiun;completado;grado asociado;group B
10011503;Gratis/Reducido;ninguna;alguna educacion superior;group C
10011504;Pago/Premiun;completado;grado asociado;group E
